emissionScope1,emissionScope2,emissionScope3,totalEmission
132402.37095320926,75508.57485860055,146209.25391656527,354120.19972837507
337545.4184726354,155405.2819794369,150663.25642094354,643613.9568730158
64927.65293754558,139800.37944740927,273918.8581178198,478646.8905027747
106136.48690928734,422733.1576840634,682205.2495010269,1211074.8940943778
210614.83167076748,178360.51140922654,437675.37120744254,826650.7142874366
210144.04422952133,21896.6234160203,28343.957645698858,260384.6252912405
458478.9029756295,344763.60586573,385282.94330153684,1188525.4521428964
226427.25063623063,620552.767131558,925003.7131870815,1771983.73095487
226729.30819507866,28656.583360771103,89045.16563110403,344431.0571869538
2706149.0540223694,2447877.093581274,1032676.7849499267,6186702.932553571
1493073.1363923454,1089880.5078537704,1658690.9744027494,4241644.618648865
881498.620085396,196838.2379878114,142541.5538959999,1220878.4119692072
639556.2770164004,325901.1440511658,618022.6841828467,1583480.1052504128
904760.2645318969,280332.4872196217,496117.0433085065,1681209.795060025
1144851.3863031224,2413693.237490952,6848031.336091521,10406575.959885595
574860.9202240353,100006.48163653546,134457.16254385386,809324.5644044246
785840.5869551173,179045.53284503572,128081.64402120793,1092967.763821361
1216389.1048595265,864803.4765617879,760236.8042763812,2841429.3856976954
618426.8680822604,128642.17110892132,171003.14778265997,918072.1869738416
1248527.303604771,343618.2748621154,448479.15119825443,2040624.7296651406
248624.70328533146,307950.277356699,242457.51458830875,799032.4952303392
193133.23539573952,66481.66575877402,64299.73280562664,323914.63396014017
2495821.852037702,213688.9631569607,463183.8839074145,3172694.6991020776
2447170.730797675,782060.8839096293,1345944.10045408,4575175.715161384
394067.36074735346,1045045.2206136242,1897178.6994207003,3336291.280781678
528773.5992104543,331104.4838103584,750509.7813459728,1610387.8643667854
4534751.813125052,414117.3462138168,836141.8760071648,5785011.035346033
288157.376161983,917478.7492833539,1983119.464408033,3188755.58985337
2403065.37132085,914894.3874505106,1308206.4970996082,4626166.255870969
830982.3750957883,262560.90898257005,403769.2073990281,1497312.4914773863
1081193.0745819188,405892.171405131,681594.5856223414,2168679.831609391
841211.8810997115,78510.74291856408,126447.51446297811,1046170.1384812538
297269.09163486626,175501.11174441734,279834.8808737393,752605.0842530229
131303.58393955228,2816.543592097822,7173.998404536134,141294.12593618623
303355.82300022576,210248.03883986463,394367.08864149963,907970.95048159
367777.25534252543,312788.63009827526,532261.8178207091,1212827.7032615098
660591.7430168162,249606.8298027357,281069.4948454739,1191268.0676650258
2722896.5538797714,439650.53417947906,443218.56746326806,3605765.6555225183
898826.3084436482,89441.06066539302,83920.01967168727,1072187.3887807284
544230.3838277933,218013.41918317485,275480.9909348382,1037724.7939458063
312580.0261723487,62779.52182528273,312696.76404457266,688056.3120422041
1188899.353422778,77580.74769469615,93147.17633640813,1359627.2774538822
2044305.5430254303,1112607.194899422,1542508.281313058,4699421.01923791
1309306.5898033986,182848.6648689392,253725.10256776377,1745880.3572401016
3854059.7103229095,418404.71730864234,744119.8220326733,5016584.249664225
10869306.904387027,707471.0435613372,1148369.9597454537,12725147.907693818
7064266.391108375,1266110.5228301475,929221.8112020921,9259598.725140614
483505.6005484676,1540870.0437034778,768607.9559401041,2792983.6001920495
1770127.7129992214,391162.7725566089,224080.3672596328,2385370.852815463
2383052.964738682,1307023.9885374366,941425.3729881812,4631502.326264299
821684.3071547064,90252.76163932096,81511.812555413,993448.8813494404
1332876.5835977704,379121.4847601628,394514.3879867573,2106512.4563446906
2118808.4217970846,1582657.4862907028,1382685.2641580477,5084151.172245835
165224.6646665261,880139.3084443231,1434199.0705074857,2479563.043618335
1273410.1610700595,504240.4301694469,562213.2399642342,2339863.8312037406
2411870.2107044104,510413.75118562346,338204.0704393517,3260488.0323293856
611667.2258306196,551946.1722712095,679696.098561265,1843309.496663094
2095850.779709172,360755.53360880783,542746.0912147281,2999352.4045327078
1314893.8566285158,434608.8180644207,672321.269026641,2421823.9437195775
1866965.3216544725,551056.1216457506,553321.8511425173,2971343.2944427403
835992.610258395,822952.8552006476,792322.5464840145,2451268.011943057
2232921.5257382444,309633.6518038988,369971.21260298137,2912526.3901451244
657096.023245405,2231726.484458623,2925075.3170791855,5813897.824783213
87108.62937171334,1874583.0425372513,2647907.1166512743,4609598.788560239
350024.5068347635,304064.6790730009,306298.18737071357,960387.3732784779
844472.9212036034,141245.01040158237,66306.46915219876,1052024.4007573845
331170.65182403463,108286.14676237521,74077.77988011867,513534.5784665285
853535.6063499803,387354.81941405684,305055.4637998454,1545945.8895638827
356771.3415629552,1127903.0803671796,1317663.12555893,2802337.5474890647
477272.0324235054,1056363.2972783241,767092.5764478587,2300727.906149688
760327.3300591051,219830.32625538346,906432.4551721646,1886590.111486653
1189622.8481590461,162104.71697594188,137584.79493944626,1489312.3600744342
602733.8293495468,35255.80529165508,44696.0708445569,682685.7054857588
2057368.3623297734,103366.67539212122,121056.78561942978,2281791.8233413245
3726855.710367543,140153.7263704168,164714.96549737826,4031724.4022353385
396307.01057314343,200883.04338141673,313457.59263686265,910647.6465914228
1744248.4455345524,133951.8552479646,224432.4841568009,2102632.784939318
42566583.78477675,17088221.18085839,21070030.17354195,80724835.13917708
24428.78107168792,54082.85691705607,101844.31590991451,180355.9538986585
855374.2010625364,106144.3977341198,174074.40145406208,1135593.0002507183
2973555.8505558823,239571.41333810572,180682.62354434142,3393809.8874383294
577979.5330042874,17319132.287386924,24097251.9038384,41994363.72422961
525575.8985993882,2572617.315801181,4300614.282603433,7398807.497004002
215381.6856499752,207442.2941294754,334204.7825399856,757028.7623194362
517360.43140549713,2217546.842279583,3586885.6281159376,6321792.901801018
642547.623516677,5733431.2610055795,8252251.754355065,14628230.638877321
1177412.1563741078,668851.5341820609,982383.844798611,2828647.5353547796
1373319.4494522242,857020.4337012983,967800.3799720109,3198140.2631255332
550260.8645541939,4560205.440222336,7936483.166942301,13046949.471718831
4411129.978085384,169787.4310089308,133706.4323145207,4714623.841408836
706588.1841282827,2511486.4263464543,3677769.2662140043,6895843.876688741
507907.21566235344,815663.4783999368,885742.1350237541,2209312.8290860443
1372876.1104122456,206726.20839866862,239919.18813205627,1819521.5069429704
992543.435752173,3520288.972059799,3735107.1339536784,8247939.54176565
3576138.191805628,1354299.870074758,1447327.595192233,6377765.65707262
4559823.527849289,314289.6825046991,424005.09157225024,5298118.3019262375
1440547.8061551112,315226.3030284478,464230.86335272086,2220004.97253628
