emissionScope1,emissionScope2,emissionScope3,totalEmission,Sector_CodeName,Aggregated sectors,Sector_Number
459611.8740350063,165911.9229841017,211615.27840929796,837139.0754284059,043/Copper ore ,Mining ,43
459983.8345924707,40112.75418741791,56364.21192785172,556460.8007077404,044/Nickel ore,Mining ,44
471566.2475512354,31902.118868023597,25599.754397331853,529068.1208165908,045/Other metal mining ,Mining ,45
728245.594907945,125767.30582988226,194156.0857426374,1048168.9864804648,046/Gold ore ,Mining ,46
213366.0372260542,6232.746836788924,9640.61615473195,229239.40021757508,047/Silver ore ,Mining ,47
263003.1106400538,639475.4772956355,971625.2714568764,1874103.8593925657,048/Minerals,Mining ,48
753522.9126031683,92212.83614057396,98732.00838727492,944467.7571310172,049/Non-metal minerals,Mining ,49
1193.9240616771062,370.5320036390496,469.30457306536914,2033.7606383815248,050/Coarse salt,Mining ,50
878442.8678839203,102087.53880994402,166414.8849773989,1146945.2916712633,051/Petroleum and natural gas mining services ,Services ,51
771712.2585586954,136884.50322395418,179636.87726981216,1088233.6390524618,052/Other mining and quarrying services ,Mining ,52
101359.62067850554,85242.37736154132,527353.1249522715,713955.1229923184,053/Slaughterhouse,"Food, beverage and food processing ",53
39209.88809979115,54877.7102792373,212754.4852933206,306842.08367234905,054/Meat processing and preservation products,"Food, beverage and food processing ",54
169363.97807952817,37117.92205817847,54799.3626374556,261281.26277516223,055/Dried fish and salted fish,"Food, beverage and food processing ",55
368713.323512768,120000.10207572828,194139.47249363363,682852.8980821299,056/Fish processing and preservation products,"Food, beverage and food processing ",56
211766.6869587413,49423.72545845075,98655.69256557908,359846.10498277115,057/Fruit and vegetables (processed and preserved) ,"Food, beverage and food processing ",57
85970.56482203578,162551.65441981592,1335971.996712378,1584494.2159542297,058/Animal and vegetables oil,"Food, beverage and food processing ",58
208938.39686149583,74728.2465032462,70554.35295140772,354220.9963161498,059/Copra,Agriculture ,59
170127.13492477147,219298.50786783663,346186.55059861334,735612.1933912215,060/Food and drinks from milk,"Food, beverage and food processing ",60
199539.78736311465,63380.53541082356,144212.7251842672,407133.0479582054,061/Other flour,"Food, beverage and food processing ",61
64213.40963220432,7988.266191850311,74339.16729355414,146540.84311760878,062/Wheat and meslin flour,"Food, beverage and food processing ",62
29392.387812587316,40991.71187865987,1030927.8516572348,1101311.951348482,063/Rice milling products,"Food, beverage and food processing ",63
64956.0028344253,290392.2487877804,249053.34370183732,604401.5953240431,"064/Bread, biscuits","Food, beverage and food processing ",64
1291694.6341548976,207613.22987616732,398334.5550781821,1897642.4191092472,065/Sugar,"Food, beverage and food processing ",65
317790.2614231571,198431.6072677516,170900.5983628063,687122.467053715,066/Chocolate and confectionery,"Food, beverage and food processing ",66
374979.2518344669,134403.8185913606,172978.1898991739,682361.2603250014,"067/Noodles, macaroni and pasta","Food, beverage and food processing ",67
132402.37095320926,75508.57485860055,146209.25391656527,354120.19972837507,068/Processed coffee,"Food, beverage and food processing ",68
337545.4184726354,155405.2819794369,150663.25642094354,643613.9568730158,069/Processed tea,"Food, beverage and food processing ",69
64927.65293754558,139800.37944740927,273918.8581178198,478646.8905027747,070/Processed soybean,"Food, beverage and food processing ",70
106136.48690928734,422733.1576840634,682205.2495010269,1211074.8940943778,071/Other foods,"Food, beverage and food processing ",71
210614.83167076748,178360.51140922654,437675.37120744254,826650.7142874366,072/Processed pet food,"Food, beverage and food processing ",72
210144.04422952133,21896.6234160203,28343.957645698854,260384.6252912405,073/Alcohol beverages,"Food, beverage and food processing ",73
458478.9029756295,344763.60586573,385282.9433015368,1188525.4521428964,074/Non-alcohol beverages,"Food, beverage and food processing ",74
226427.25063623063,620552.767131558,925003.7131870816,1771983.73095487,075/Cigarette,"Food, beverage and food processing ",75
226729.30819507863,28656.583360771103,89045.16563110403,344431.0571869538,076/Processed tobacco,"Food, beverage and food processing ",76
2706149.054022369,2447877.093581274,1032676.7849499268,6186702.932553571,077/Yarn,Textiles ,77
1493073.1363923454,1089880.5078537704,1658690.9744027494,4241644.618648865,078/Textile,Textiles ,78
881498.620085396,196838.2379878114,142541.5538959999,1220878.4119692072,"079/Tapestry, rope, and other floor coverings ",Textiles ,79
639556.2770164004,325901.1440511658,618022.6841828467,1583480.1052504128,080/Textiles other than fabrics and garments,Textiles ,80
904760.2645318968,280332.4872196217,496117.0433085065,1681209.795060025,081/Knitted products,Textiles ,81
1144851.3863031224,2413693.237490952,6848031.336091521,10406575.959885595,082/Apparel,Textiles ,82
574860.9202240353,100006.48163653546,134457.16254385386,809324.5644044246,083/Leather preservation and tanning products,Textiles ,83
785840.5869551173,179045.53284503572,128081.64402120792,1092967.763821361,084/Leather goods,Textiles ,84
1216389.1048595265,864803.4765617879,760236.8042763812,2841429.3856976954,085/Footwear,Textiles ,85
618426.8680822604,128642.17110892132,171003.14778265997,918072.1869738416,086/Sawn and processed wood,Wood and forest products,86
1248527.303604771,343618.2748621154,448479.1511982544,2040624.7296651409,087/Plywoods,Wood and forest products,87
248624.70328533143,307950.277356699,242457.51458830875,799032.4952303392,088/Building materials from wood,Wood and forest products,88
193133.23539573952,66481.66575877402,64299.73280562664,323914.63396014017,"089/Other products of wood, cork, bamboo and rattan",Wood and forest products,89
2495821.852037702,213688.9631569607,463183.8839074145,3172694.6991020776,090/Pulp,Wood and forest products,90
2447170.730797675,782060.8839096293,1345944.10045408,4575175.715161384,091/Paper,Wood and forest products,91
394067.3607473535,1045045.2206136242,1897178.6994207003,3336291.280781678,092/Paper and cardboard,Wood and forest products,92
528773.5992104543,331104.4838103584,750509.7813459728,1610387.8643667854,093/Printing,Others,93
4534751.813125052,414117.3462138168,836141.8760071648,5785011.035346033,094/Other goods from non-metal materials ,Others,94
288157.376161983,917478.749283354,1983119.464408033,3188755.58985337,095/Oil and gas refinery products,Chemical industries ,95
2403065.37132085,914894.3874505106,1308206.4970996082,4626166.255870969,096/Basic chemicals (except fertilizer),Chemical industries ,96
830982.3750957883,262560.90898257005,403769.2073990281,1497312.4914773863,097/Fertilizers,Chemical industries ,97
1081193.0745819188,405892.171405131,681594.5856223414,2168679.831609391,"098/Synthetic resin, plastic material and synthetic fiber ",Chemical industries ,98
841211.8810997115,78510.74291856408,126447.51446297811,1046170.1384812538,099/Pesticide,Chemical industries ,99
297269.09163486626,175501.11174441734,279834.8808737393,752605.0842530229,100/Paint and printing ink,Chemical industries ,100
